off_diagonal_pairs,n_localized,hm,f1_missed,f1_extra,f1_wrong,mean_error_f1,shipped_identical_to_base
0,1900,0.0,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
50,1950,0.02564102564102564,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
100,2000,0.05,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
150,2050,0.07317073170731707,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
200,2100,0.09523809523809523,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
250,2150,0.11627906976744186,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
300,2200,0.13636363636363635,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
350,2250,0.15555555555555556,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
400,2300,0.17391304347826086,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
450,2350,0.19148936170212766,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
500,2400,0.20833333333333334,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
550,2450,0.22448979591836735,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
600,2500,0.24,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
650,2550,0.2549019607843137,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
700,2600,0.2692307692307692,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
750,2650,0.2830188679245283,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
800,2700,0.2962962962962963,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
850,2750,0.3090909090909091,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
900,2800,0.32142857142857145,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
950,2850,0.3333333333333333,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
1000,2900,0.3448275862068966,0.5263157894736842,0.6956521739130435,0.7272727272727272,0.6497468968864849,True
